S.No,Main Category,Category Path,Product Name,Short Description,Long Description,Product Slug,Image Path
98,Instruments,Instruments > Forceps,bonaccolto-conjunctiva-forceps,,,bonaccolto-conjunctiva-forceps,
99,Instruments,Instruments > Forceps,boon-corneal-forceps,,,boon-corneal-forceps,
100,Instruments,Instruments > Forceps,clayman-intraocular-forceps,,,clayman-intraocular-forceps,
101,Instruments,Instruments > Forceps,colibri-colibri-forceps,,,colibri-colibri-forceps,
102,Instruments,Instruments > Forceps,erhardt-chalazion-forceps,,,erhardt-chalazion-forceps,
103,Instruments,Instruments > Forceps,eye-dressing-conjunctiva-forceps,,,eye-dressing-conjunctiva-forceps,
104,Instruments,Instruments > Forceps,faulkner-intraocular-forceps,,,faulkner-intraocular-forceps,
105,Instruments,Instruments > Forceps,gill-colibri-colibri-forceps,,,gill-colibri-colibri-forceps,
106,Instruments,Instruments > Forceps,gradle-cilia-forceps,,,gradle-cilia-forceps,
107,Instruments,Instruments > Forceps,hunt-chalazion-forceps,,,hunt-chalazion-forceps,
108,Instruments,Instruments > Forceps,jaffe-capsulorhexis-forceps,,,jaffe-capsulorhexis-forceps,
109,Instruments,Instruments > Forceps,kratz-intraocular-forceps,,,kratz-intraocular-forceps,
110,Instruments,Instruments > Forceps,lambert-chalazion-forceps,,,lambert-chalazion-forceps,
111,Instruments,Instruments > Forceps,lieberman-intraocular-forceps,,,lieberman-intraocular-forceps,
112,Instruments,Instruments > Forceps,moorfield-conjunctiva-forceps,,,moorfield-conjunctiva-forceps,
113,Instruments,Instruments > Forceps,pierse-type-hoskin-forceps,,,pierse-type-hoskin-forceps,
114,Instruments,Instruments > Forceps,snellen-chalazion-forceps,,,snellen-chalazion-forceps,
115,Instruments,Instruments > Forceps,tennant-maumenee-corneal-forceps,,,tennant-maumenee-corneal-forceps,
116,Instruments,Instruments > Forceps > Corneal Fixation Forceps,Kramer-Corneal Fixation Forceps,"Kramer-Corneal Fixation Forceps are essential instruments used in ophthalmic surgeries for precise corneal fixation, ensuring optimal outcomes and patient satisfaction.",Forceps for corneal fixation.,kramer-corneal-fixation-forceps,../../wp-content/uploads/2024/04/Corneal-Fixation-Forceps-Kramer.jpg
117,Instruments,Instruments > Forceps > Fixation And Superior Rectus Forceps,Bores-Fixation and Superior Rectus Forceps,"Bores-Fixation and Superior Rectus Forceps are vital instruments used in ophthalmic surgeries for fixation procedures, ensuring optimal outcomes and patient satisfaction.",Forceps for fixation procedures.,bores-fixation-and-superior-rectus-forceps,../../wp-content/uploads/2024/04/Fixation-and-Superior-Rectus-Forceps-Bores.jpg
118,Instruments,Instruments > Forceps > Fixation And Superior Rectus Forceps,Dastoor-Fixation and Superior Rectus Forceps,"Dastoor-Fixation and Superior Rectus Forceps are essential instruments used in ophthalmic surgeries for fixation procedures, ensuring optimal outcomes and patient satisfaction.",Forceps for fixation procedures.,dastoor-fixation-and-superior-rectus-forceps,../../wp-content/uploads/2024/04/Fixation-and-Superior-Rectus-Forceps-Dastoor.jpg
119,Instruments,Instruments > Forceps > Fixation And Superior Rectus Forceps,Elsching-Fixation and Superior Rectus Forceps,"Elsching-Fixation and Superior Rectus Forceps are vital instruments used in ophthalmic surgeries for fixation procedures, ensuring optimal outcomes and patient satisfaction.",Forceps for fixation procedures.,elsching-fixation-and-superior-rectus-forceps,../../wp-content/uploads/2024/04/Fixation-and-Superior-Rectus-Forceps-Elsching.jpg
120,Instruments,Instruments > Forceps > Fixation And Superior Rectus Forceps,Fixation-Fixation and Superior Rectus Forceps,"Fixation-Fixation and Superior Rectus Forceps are essential instruments used in ophthalmic surgeries for fixation procedures, ensuring optimal outcomes and patient satisfaction.",Forceps for fixation procedures.,fixation-fixation-and-superior-rectus-forceps,../../wp-content/uploads/2024/04/Superior_Rectus_Forcep.webp
